City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Bluff,NZ,-46.6,168.3333,48.79,83,95,30.78,overcast clouds
206,Gillette,US,44.2911,-105.5022,58.12,33,1,5.99,clear sky
207,Krasnoselkup,RU,65.7,82.4667,33.3,89,98,14.14,overcast clouds
208,Karratha,AU,-20.7377,116.8463,76.24,46,95,7.2,overcast clouds
209,Sorland,NO,67.667,12.6934,49.86,81,75,17.27,broken clouds
210,Bar Harbor,US,44.3876,-68.2039,73.45,77,1,8.99,clear sky
211,Chuy,UY,-33.6971,-53.4616,59.56,76,100,7.81,overcast clouds
212,Marsh Harbour,BS,26.5412,-77.0636,83.7,68,94,8.25,overcast clouds
213,Oranjestad,AW,12.524,-70.027,87.75,70,20,18.41,few clouds
214,Uklana Mandi,IN,29.5023,75.8849,75.87,91,97,5.68,overcast clouds
215,Dudinka,RU,69.4058,86.1778,30.79,90,24,8.43,few clouds
216,Piriyapatna,IN,12.3397,76.0992,77.72,91,86,7.45,overcast clouds
217,Okahandja,NA,-21.9833,16.9167,95.83,5,68,16.26,broken clouds
218,Lorengau,PG,-2.0226,147.2712,81.19,79,92,9.4,overcast clouds
219,Nara,JP,34.6851,135.8049,74.48,73,99,3.29,overcast clouds
220,Port Lincoln,AU,-34.7333,135.8667,54.32,83,0,8.81,clear sky
221,Hobyo,SO,5.3505,48.5268,79.41,78,99,26.37,overcast clouds
222,Ulladulla,AU,-35.35,150.4667,62.1,61,0,10.13,clear sky
223,Curillo,CO,1.0333,-75.9191,70.23,97,100,1.14,overcast clouds
224,Benguela,AO,-12.5763,13.4055,75.38,77,100,10.42,overcast clouds
225,Isangel,VU,-19.55,169.2667,70.86,81,85,16.75,overcast clouds
226,Poum,NC,-20.2333,164.0167,69.53,67,52,17.34,broken clouds
227,Lata,PT,40.1629,-8.3327,68.36,72,100,3.22,overcast clouds
228,Amuntai,ID,-2.4177,115.2494,77.27,88,100,2.3,overcast clouds
229,Bubaque,GW,11.2833,-15.8333,82.08,72,100,3.85,overcast clouds
230,Honggang,CN,46.4667,124.8667,52.81,71,8,5.37,clear sky
231,Lavumisa,SZ,-27.31,31.892,81.75,27,0,11.16,clear sky
232,Gombe,NG,10.2897,11.1673,83.32,62,97,7.36,overcast clouds
233,Anshun,CN,26.25,105.9333,64.72,95,6,8.75,clear sky
234,Talnakh,RU,69.4865,88.3972,34.0,78,11,4.16,few clouds
235,Sechura,PE,-5.5569,-80.8222,68.02,72,84,7.27,broken clouds
236,Alyangula,AU,-13.8483,136.4192,73.02,81,44,8.28,scattered clouds
237,Mount Isa,AU,-20.7333,139.5,51.57,28,1,0.0,clear sky
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,52,75,12.57,broken clouds
239,Savannah Bight,HN,16.45,-85.85,87.01,73,26,6.8,scattered clouds
240,Sioux Lookout,CA,50.1001,-91.917,55.72,64,8,8.19,clear sky
241,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,56,75,6.91,broken clouds
242,Nosy Varika,MG,-20.5833,48.5333,72.95,69,9,7.2,clear sky
243,Kaabong,UG,3.4836,34.1492,79.21,39,45,12.06,scattered clouds
244,Shupiyan,IN,33.7167,74.8333,59.25,73,17,6.6,few clouds
245,Lubango,AO,-14.9172,13.4925,90.59,10,88,10.49,overcast clouds
246,Jamestown,US,42.097,-79.2353,62.19,80,75,8.99,broken clouds
247,Tartus,SY,34.889,35.8866,82.69,60,1,26.62,clear sky
248,Uruzgan,AF,32.8333,66.0,73.35,11,0,4.65,clear sky
249,Praia Da Vitoria,PT,38.7333,-27.0667,69.87,63,82,11.01,broken clouds
250,Adeje,ES,28.1227,-16.726,77.52,56,75,1.99,broken clouds
251,Severodvinsk,RU,64.5635,39.8302,46.51,82,100,12.73,overcast clouds
252,Synya,RU,65.3718,58.0387,39.81,85,100,2.84,overcast clouds
253,Tomatlan,MX,19.9333,-105.25,76.78,80,9,2.55,clear sky
254,Viransehir,TR,37.2353,39.7631,83.71,29,63,14.92,broken clouds
255,Inhambane,MZ,-23.865,35.3833,72.82,54,4,9.89,clear sky
256,Kushiro,JP,42.975,144.3747,57.36,94,100,13.76,overcast clouds
257,Ixtapa,MX,20.7,-105.2,80.22,94,1,4.61,clear sky
258,Minot,US,48.2325,-101.2963,61.02,44,1,4.0,clear sky
259,Pochutla,MX,15.7432,-96.4661,79.83,61,16,1.3,few clouds
260,Nadapuram,IN,11.7,75.6667,77.11,91,96,4.94,overcast clouds
261,Abilene,US,32.4487,-99.7331,68.49,35,1,6.91,clear sky
